manufactor,Year,model,Hand,Gear,capacity_Engine,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test
פורד,2004,פוקוס,2,אוטומטית,2000,בנזין,,,חיפה וחוף הכרמל,חיפה,8000.0,1,23/07/2022,23/07/2022,"רכב במצב מצויין וחזק מטופל בזמן צמיגים חדשים ק""מ נמוך פשוט מציאההה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; חלונות חשמל נעילה מרכזית מערכת מולטימדיה עם מסך אחורי יש גם דיבורית ",nan,152000,
פורד,2007,פוקוס,3,אוטומטית,1600,בנזין,,,באר שבע והסביבה,באר שבע,5000.0,1,22/07/2022,22/07/2022,מצב מכני מעולה עשתה מנוע לפני כ6 שנים ,nan,290000,
פורד,2009,פוקוס,2,אוטומטית,1596,בנזין,,,תל אביב,תל אביב יפו,13000.0,1,20/07/2022,20/07/2022,"אנחנו מוכרים את האוטו שלנו!פורד פוקוס הצ׳בק 2009. 1.6 סמ״ק. יד 2. רק 175,000 ק״מ.רכב מטופל היטב ושמור מאוד. יודע לתת עבודה ונסיעות. 13,000 ש״ח.0528089898. אזור ת""א אבל מגיע לעיתים לרחובות",nan,175000,
פורד,2013,פוקוס,2,אוטומטית,1400,בנזין,,,מושבים בצפון,ברק,6500.0,1,19/07/2022,19/07/2022,למכירה פורד פוקוס שנת 2013 צבע כסוף מטאלי יד 2 אגרת רישוי כרגע מוקפאת הרכב לא מניע ולא ידועה הסיבה לפינוי הרכב באופן מיידי 147000 קילומטר נמצא באיזור עפולה מחיר אחרון ,nan,147000,
פורד,2009,פוקוס,2,אוטומטית,1596,בנזין,,,נס ציונה - רחובות,רחובות,11000.0,1,18/07/2022,18/07/2022,נוח ואמין. שמור ללא תקלות או תאונות! טופל רק במוסך פורד מורשה. כמה נקודות פחחות מחניות… תא מטען גדול. נמכר בגלל נסיעה לחו״ל. לא נספיק להעביר טסט אבל אפשר להתקזז,nan,217000,
פורד,2010,מונדאו,4,אוטומטית,2300,בנזין,,,אשדוד - אשקלון,אשקלון,16500.0,1,10/07/2022,10/07/2022,"רכב שמור ביותר מבחינה מכנית לא נתקלתי בהרבה פורדים במצב מנוע טוב כזה עבר טיפול עשרת אלפים מלא עבר עכשיו טסט חלק 0 תקלותהרכב במצב מצויין אני כעיקרון יד 3 רק למעבר קניה עשו עוד העברה לפני בשביל למכור לי אז כאילו יד אחת לא הייתה דורש 16,500...",nan,230000,
פורד,2009,פוקוס,2,אוטומטית,1600,בנזין,,,פתח תקוה והסביבה,פתח תקווה,11000.0,1,07/07/2022,07/07/2022,"מתאימה במיוחד לנהג צעיר, או רכב שני &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מערכת מולטימדיה",nan,126000,
פורד,2008,פוקוס,3,אוטומטית,1600,בנזין,,,רעננה - כפר סבא,רעננה,10500.0,1,04/07/2022,04/07/2022,"רכב מטופל היטב, מצבר חדש וצמיגים חדשים. שמור בפנים ובחוץ. טסט עד 05/23",nan,200000,
פורד,2013,פיאסטה,3,ידנית,1250,בנזין,,,נס ציונה - רחובות,רחובות,22000.0,1,15/06/2022,15/06/2022,מטופל שמור ללא תיקוני צבע,nan,76000,
פורד,2013,פיאסטה,2,ידנית,1200,בנזין,פרטית,פרטית,ירושלים והסביבה,ירושלים,14200.0,5,14/06/2022,14/06/2022,"הרכב מצב פצצה, חסכוני שמור מאוד, רכב לאחר טיפול גדול, ברקסים חדשים טסט לשנה שלמה. ",כחול,238000,
פורד,2010,פוקוס,2,אוטומטית,1600,בנזין,,,בקעת אונו,גני תקווה,9900.0,1,06/06/2022,06/06/2022,"ללא תאונות, טסט עד אפריל 2023, צמיגים ומצבר הוחלפו לפני שנה+",nan,230000,
פורד,2011,גלאקסי,2,אוטומטית,2300,בנזין,,,"ראשל""צ והסביבה",באר יעקב,30200.0,1,24/05/2022,24/05/2022,7 מקומות. רכב מאוד מרווח ומפנק. מטופל רק במוסך מורשה.,nan,217000,
פורד,2002,פוקוס,2,אוטומטית,1600,בנזין,,,פתח תקוה והסביבה,פתח תקווה,5800.0,1,19/05/2022,19/05/2022,רכב שמור נדיר דגם ספורטיבי 5 דלתות מטופל כל הזמן כל המערכות מתפקדות מעולה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; חלונות ונעילה חשמלים קודנית סטריאו ,nan,162000,
פורד,2011,פוקוס,2,אוטומטית,1596,בנזין,,,רעננה - כפר סבא,כוכב יאיר,12500.0,1,09/05/2022,09/05/2022,אחרי החלפת גיר מלאה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; יש מוביל איי חדש,nan,130000,
פורד,2006,פוקוס,3,אוטומטית,1600,בנזין,פרטית,פרטית,תל אביב,תל אביב יפו,7400.0,2,12/03/2022,12/03/2022,"שימש כרכב שני במשפחהאמין ביותרק""מ נמוךכל הקודם זוכה",כסוף,165000,
פורד,2007,פוקוס,2,אוטומטית,1600,בנזין,פרטית,פרטית,אשדוד - אשקלון,אשקלון,9000.0,3,30/01/2022,10/02/2022,,כסוף מטאלי,128000,
